OBJECTID,date_arrested,time_arrested,address,offense_type,subject_race,subject_gender,agency,armainid,objectid_1,Year
1148,2021/01/25,200,500-BLK S FRENCH BROAD AVE,BREAKING OR ENTERING (M),W,M,APD,580920,1147,2021
1149,2020/11/09,1915,100-BLK NEW LEICESTER HWY,SHOPLIFTING CONCEALMENT GOODS,W,M,APD,579248,1148,2020
1150,2020/11/09,1915,100-BLK NEW LEICESTER HWY,SIMPLE ASSAULT,W,M,APD,579248,1149,2020
1151,2020/11/09,1915,100-BLK NEW LEICESTER HWY,INJURY TO PERSONAL PROPERTY,W,M,APD,579248,1150,2020
1197,2021/04/30,2225,100-BLK TUNNEL RD,COMMUNICATING THREATS,W,M,APD,588458,1196,2021
1198,2021/04/30,2225,100-BLK TUNNEL RD,ASSAULT PHY INJ LE/PROB/PAR OF,W,M,APD,588458,1197,2021
1199,2021/04/30,2225,100-BLK TUNNEL RD,SECOND DEGREE TRESPASS,W,M,APD,588458,1198,2021
1200,2021/04/30,2225,100-BLK TUNNEL RD,RESISTING PUBLIC OFFICER,W,M,APD,588458,1199,2021
1204,2020/05/30,1920,100-BLK PATTON AVE,SIMPLE ASSAULT,B,M,APD,573025,12172,2020
1281,2021/09/25,1735,100-BLK BURTON ST,DWI - LEVEL 5,B,M,APD,596505,1279,2021
1282,2021/09/25,1735,100-BLK BURTON ST,OPEN CONT AFTER CONS ALC 1ST,B,M,APD,596505,1280,2021
1306,2021/04/17,2139,400-BLK HAYWOOD RD,SECOND DEGREE TRESPASS,W,M,APD,586134,1304,2021
1307,2021/03/18,1435,100-BLK BUXTON AVE,SECOND DEGREE TRESPASS,W,M,APD,585314,1305,2021
1308,2020/03/06,1420,1000-BLK MERRIMON AVE,SECOND DEGREE TRESPASS,W,M,APD,568977,1306,2020
1322,2020/03/12,2313,200-BLK DEAVERVIEW RD,BREAKING AND OR ENTERING (F),W,M,APD,569267,1320,2020
1323,2020/03/12,2313,200-BLK DEAVERVIEW RD,POSSESS DRUG PARAPHERNALIA,W,M,APD,569267,1321,2020
1326,2020/03/12,2313,200-BLK DEAVERVIEW RD,LARCENY AFTER BREAK/ENTER,W,M,APD,569267,1324,2020
1340,2021/03/31,2030,100-BLK BUFFALO ST,INTOXICATED AND DISRUPTIVE,B,M,APD,585662,1338,2021
1341,2021/03/31,2030,100-BLK BUFFALO ST,RESISTING PUBLIC OFFICER,B,M,APD,585662,1339,2021
1342,2021/01/03,359,100-BLK BUFFALO ST,SIMPLE ASSAULT,B,M,APD,580413,1340,2021
1363,2020/06/07,1706,100-BLK EDGAR ST,ASSAULT ON A FEMALE,B,M,APD,573226,1361,2020
1364,2020/06/07,1706,100-BLK EDGAR ST,NON-SUPPORT,B,M,APD,573226,1362,2020
1490,2020/04/01,1803,100-BLK S FRENCH BROAD AVE,ASSAULT ON A FEMALE,W,M,APD,569736,1488,2020
1502,2021/07/24,1823,200-BLK OLD COUNTY HOME RD,INJURY TO PERSONAL PROPERTY,W,M,APD,594787,1500,2021
1514,2020/08/28,1429,100-BLK N MARKET ST,FELONY POSSESSION SCH II CS,W,M,APD,576321,1512,2020
1515,2020/08/28,1429,100-BLK N MARKET ST,SIMPLE POSSESS SCH VI CS (M),W,M,APD,576321,1513,2020
1516,2020/08/28,1429,100-BLK N MARKET ST,DISORDERLY CONDUCT PUBLIC BLDG,W,M,APD,576321,1514,2020
1517,2020/08/28,1429,100-BLK N MARKET ST,POSSESS DRUG PARAPHERNALIA,W,M,APD,576321,1515,2020
1536,2020/07/01,110,100-BLK CROWELL RD,ASSAULT ON A FEMALE,B,M,APD,573794,1534,2020
1537,2020/04/08,2240,100-BLK S FRENCH BROAD AVE,MISDEMEANOR PROBATION VIOL,B,M,APD,569868,1535,2020
1538,2020/04/08,2240,100-BLK S FRENCH BROAD AVE,SECOND DEGREE TRESPASS,B,M,APD,569868,1536,2020
1539,2020/04/08,2240,100-BLK S FRENCH BROAD AVE,POSSESS MARIJUANA UP TO 1/2 OZ,B,M,APD,569868,1537,2020
1544,2020/06/20,1030,200-BLK DEAVERVIEW RD,PWISD MARIJUANA,W,M,APD,573530,1542,2020
1545,2020/06/20,1030,200-BLK DEAVERVIEW RD,MAINTN VEH/DWELL/PLACE CS (F),W,M,APD,573530,1543,2020
1546,2020/06/20,1030,200-BLK DEAVERVIEW RD,POSS/SELL/BUY ALT NMV SER NO,W,M,APD,573530,1544,2020
1596,2020/07/16,2039,100-BLK S FRENCH BROAD AVE,ASSAULT ON A FEMALE,B,M,APD,574196,1594,2020
1597,2020/08/16,750,500-BLK BILTMORE AVE,DWLR NOT IMPAIRED REV,W,M,APD,574966,1595,2020
1611,2021/03/10,1754,200-BLK HANOVER ST,POSSESS HEROIN,B,F,APD,584075,12990,2021
1638,2020/06/20,2250,100-BLK N MARKET ST,ASSAULT WITH A DEADLY WEAPON,B,F,APD,573543,1635,2020
1754,2020/07/10,1621,100-BLK N MARKET ST,FAIL RETURN HIRED MV >$4000,W,M,APD,574041,1751,2020
1755,2020/07/10,1621,100-BLK N MARKET ST,POSSESS DRUG PARAPHERNALIA,W,M,APD,574041,1752,2020
1836,2020/07/05,49,500-BLK BILTMORE AVE,AWDW INTENT TO KILL,B,M,APD,573881,1833,2020
1837,2020/07/05,49,500-BLK BILTMORE AVE,CARRYING CONCEALED WEAPON,B,M,APD,573881,1834,2020
1901,2020/02/15,2043,100-BLK HAWTHORNE LN,SIMPLE ASSAULT,B,M,APD,568110,1897,2020
1902,2020/02/15,2043,100-BLK HAWTHORNE LN,ASSAULT ON A CHILD UNDER 12,B,M,APD,568110,1898,2020
1903,2020/08/15,236,100-BLK WATER ST,PRETRIAL RELEASE VIOLATION [15A-534(F)],B,M,APD,574944,1899,2020
1920,2020/02/23,1722,700-BLK HAYWOOD RD,24 HOUR HOLD,W,M,APD,568428,1916,2020
1921,2020/04/15,1158,900-BLK MERRIMON AVE,SECOND DEGREE TRESPASS,W,M,APD,570982,1917,2020
1922,2020/04/15,1158,900-BLK MERRIMON AVE,LOCAL ORDINANCE-FREE TEXT,W,M,APD,570982,1918,2020
1923,2020/04/15,1158,900-BLK MERRIMON AVE,OPEN CNT MBV/UNFWN PROP CY/CTY,W,M,APD,570982,1919,2020
1924,2020/04/15,1158,900-BLK MERRIMON AVE,INTOXICATED AND DISRUPTIVE,W,M,APD,570982,1920,2020
1925,2021/04/03,1322,700-BLK BILTMORE AVE,INTOXICATED AND DISRUPTIVE,W,M,APD,585733,1921,2021
1963,2021/01/15,1748,100-BLK EASTVIEW AVE,ASSAULT ON A FEMALE,B,M,APD,580714,1959,2021
1964,2021/01/15,1748,100-BLK EASTVIEW AVE,INTERFERE EMERG COMMUNICATION,B,M,APD,580714,1960,2021
2003,2021/09/07,216,100-BLK WAKE ROBIN WAY,ASSAULT SERIOUS BODILY INJURY,W,M,APD,596024,1999,2021
2004,2021/09/07,216,100-BLK WAKE ROBIN WAY,ASSAULT ON A FEMALE,W,M,APD,596024,2000,2021
2005,2021/09/07,216,100-BLK WAKE ROBIN WAY,ASSAULT ON A FEMALE,W,M,APD,596024,2001,2021
2030,2020/12/01,1906,100-BLK TECHNOLOGY DR,24 HOUR HOLD,B,M,APD,579737,2025,2020
2031,2020/04/03,50,100-BLK OVERLOOK RD,ASSAULT ON A FEMALE,W,M,APD,569759,2026,2020
2047,2020/05/22,1001,100-BLK HAWTHORNE LN,ASSAULT WITH A DEADLY WEAPON,B,M,APD,572835,2042,2020
2052,2021/05/09,112,800-BLK PATTON AVE,ATT BREAK OR ENTER BLDG (M),W,M,APD,588645,2047,2021
2056,2021/04/05,1900,900-BLK HAYWOOD RD,INTOXICATED AND DISRUPTIVE,W,M,APD,585785,2051,2021
2057,2021/01/26,2027,100-BLK CROWELL RD,INTOXICATED AND DISRUPTIVE,W,M,APD,580975,2052,2021
2072,2020/01/29,1856,100-BLK HAYWOOD ST,OTHER - FREE TEXT,B,M,APD,567405,2069,2020
2073,2020/01/29,1856,100-BLK HAYWOOD ST,FELONY POSSESSION SCH II CS,B,M,APD,567405,2070,2020
2074,2020/01/29,1856,100-BLK HAYWOOD ST,POSSESS DRUG PARAPHERNALIA,B,M,APD,567405,2071,2020
2088,2020/09/03,2128,100-BLK CROWELL RD,SIMPLE ASSAULT,B,M,APD,576490,2085,2020
2089,2020/05/07,1841,100-BLK S FRENCH BROAD AVE,PRETRIAL RELEASE VIOLATION [15A-534(F)],B,M,APD,572453,2086,2020
2090,2020/05/07,1841,100-BLK S FRENCH BROAD AVE,PRETRIAL RELEASE VIOLATION [15A-534(F)],B,M,APD,572453,2087,2020
2100,2020/08/11,2015,100-BLK I240 E & I240 W TO TUNNEL RD,SECOND DEGREE TRESPASS,W,M,APD,574818,2097,2020
2101,2020/08/11,2015,100-BLK I240 E & I240 W TO TUNNEL RD,SOLICITING FROM HIGHWAY,W,M,APD,574818,2098,2020
2102,2020/08/11,2015,100-BLK I240 E & I240 W TO TUNNEL RD,OPEN CNT MBV/UNFWN PROP CY/CTY,W,M,APD,574818,2099,2020
2105,2020/07/07,58,3000-BLK SWEETEN CREEK RD,HABITUAL FELON,B,M,APD,573927,2102,2020
2142,2020/07/22,1611,500-BLK BILTMORE AVE,ASSAULT ON A FEMALE,W,M,APD,574355,2138,2020
2143,2020/07/22,1611,500-BLK BILTMORE AVE,ASSAULT ON A FEMALE,W,M,APD,574355,2139,2020
2153,2021/04/29,1327,100-BLK FOURTH ST,ASSAULT ON A FEMALE,W,M,APD,588412,2149,2021
2179,2020/11/27,1448,100-BLK STATE ST,DRIVING WHILE IMPAIRED,W,M,APD,579654,2175,2020
2273,2020/07/17,339,100-BLK STATE ST,SECOND DEGREE TRESPASS,B,M,APD,574205,2269,2020
2278,2020/07/17,339,100-BLK STATE ST,MISDEMEANOR LARCENY,B,M,APD,574205,2274,2020
2279,2020/07/17,339,100-BLK STATE ST,SECOND DEGREE TRESPASS,B,M,APD,574205,2275,2020
2280,2020/07/17,339,100-BLK STATE ST,SECOND DEGREE TRESPASS,B,M,APD,574205,2276,2020
2281,2020/07/17,339,100-BLK STATE ST,POSSESS METHAMPHETAMINE,B,M,APD,574205,2277,2020
2282,2020/07/17,339,100-BLK STATE ST,POSSESS DRUG PARAPHERNALIA,B,M,APD,574205,2278,2020
2283,2020/07/17,339,100-BLK STATE ST,MISDEMEANOR LARCENY,B,M,APD,574205,2279,2020
2284,2020/07/17,339,100-BLK STATE ST,POSSESS DRUG PARAPHERNALIA,B,M,APD,574205,2280,2020
2321,2020/01/08,2300,300-BLK BROOKLYN RD,DWLR NOT IMPAIRED REV,B,M,APD,565571,2317,2020
2322,2020/01/08,2300,300-BLK BROOKLYN RD,DWLR NOT IMPAIRED REV,B,M,APD,565571,2318,2020
2328,2020/02/11,1313,100-BLK MERRIMON AVE,SECOND DEGREE TRESPASS,W,M,APD,567913,2324,2020
2329,2020/08/14,1624,600-BLK HAYWOOD RD,SECOND DEGREE TRESPASS,W,M,APD,574916,2325,2020
2330,2020/08/05,1714,1800-BLK HENDERSONVILLE RD,PRETRIAL RELEASE VIOLATION [15A-534(F)],W,M,APD,574665,2326,2020
2331,2020/08/05,1714,1800-BLK HENDERSONVILLE RD,PRETRIAL RELEASE VIOLATION [15A-534(F)],W,M,APD,574665,2327,2020
2332,2020/08/05,1714,1800-BLK HENDERSONVILLE RD,PRETRIAL RELEASE VIOLATION [15A-534(F)],W,M,APD,574665,2328,2020
2333,2020/01/02,1441,100-BLK MERRIMON AVE,SECOND DEGREE TRESPASS,W,M,APD,565339,2329,2020
2334,2020/01/02,1441,100-BLK MERRIMON AVE,OPEN CONTAINER ALCOHOL VIOL,W,M,APD,565339,2330,2020
2335,2020/01/04,1234,100-BLK S TUNNEL RD,INTOXICATED AND DISRUPTIVE,W,M,APD,565421,2331,2020
2336,2020/10/30,1234,100-BLK BREVARD RD/I40E,DRIVING WHILE IMPAIRED,W,M,APD,578991,2332,2020
2337,2020/10/30,1234,100-BLK BREVARD RD/I40E,POSS OPN CNT/CONS ALC PSG AREA,W,M,APD,578991,2333,2020
2380,2020/04/25,2201,100-BLK STEWART ST,ASSAULT ON A FEMALE,B,M,APD,572200,2376,2020
2381,2020/04/25,2201,100-BLK STEWART ST,DISORDERLY CONDUCT,B,M,APD,572200,2377,2020
2394,2021/05/15,419,100-BLK WALNUT ST/BROADWAY ST,DRIVING WHILE IMPAIRED,B,M,APD,588796,2390,2021
2399,2020/11/12,2355,100-BLK BARTLETT ST,DAMAGE PROPERTY - FREE TEXT,B,F,APD,579317,2395,2020
2411,2020/07/11,2142,100-BLK S FRENCH BROAD AVE,MISDEMEANOR PROBATION VIOL,B,M,APD,574073,2407,2020
2412,2020/07/11,2142,100-BLK S FRENCH BROAD AVE,CARRYING CONCEALED WEAPON,B,M,APD,574073,2408,2020
2413,2020/03/17,1504,200-BLK DEAVERVIEW RD,POSSESS METHAMPHETAMINE,W,M,APD,569425,2409,2020
2425,2021/01/26,2246,200-BLK SMOKEY PARK HWY,DWLR NOT IMPAIRED REV,W,M,APD,580977,2421,2021
2480,2020/07/07,1805,100-BLK ASHELAND AVE,SIMPLE ASSAULT,B,M,APD,573945,3986,2020
2485,2020/02/05,1400,100-BLK BROADWAY ST,ASSAULT WITH A DEADLY WEAPON,W,M,APD,567678,2480,2020
2517,2020/03/13,1221,1100-BLK TUNNEL RD,SECOND DEGREE TRESPASS,W,M,APD,569283,2512,2020
2518,2020/03/13,1221,1100-BLK TUNNEL RD,SECOND DEGREE TRESPASS,W,M,APD,569283,2513,2020
2520,2021/03/18,1140,500-BLK BILTMORE AVE,BREAKING AND OR ENTERING (F),W,M,APD,585310,2515,2021
2521,2021/03/18,1140,500-BLK BILTMORE AVE,INJURY TO REAL PROPERTY,W,M,APD,585310,2516,2021
2522,2021/03/18,1140,500-BLK BILTMORE AVE,BREAKING AND OR ENTERING (F),W,M,APD,585310,2517,2021
2523,2021/03/18,1140,500-BLK BILTMORE AVE,INJURY TO REAL PROPERTY,W,M,APD,585310,2518,2021
2524,2021/03/18,1140,500-BLK BILTMORE AVE,BREAKING AND OR ENTERING (F),W,M,APD,585310,2519,2021
2525,2021/03/18,1140,500-BLK BILTMORE AVE,INJURY TO REAL PROPERTY,W,M,APD,585310,2520,2021
2526,2021/03/18,1140,500-BLK BILTMORE AVE,BREAKING AND OR ENTERING (F),W,M,APD,585310,2521,2021
2527,2021/03/18,1140,500-BLK BILTMORE AVE,INJURY TO REAL PROPERTY,W,M,APD,585310,2522,2021
2528,2021/03/18,1140,500-BLK BILTMORE AVE,LARCENY AFTER BREAK/ENTER,W,M,APD,585310,2523,2021
2529,2021/03/18,1140,500-BLK BILTMORE AVE,LARCENY AFTER BREAK/ENTER,W,M,APD,585310,2524,2021
2530,2021/03/18,1140,500-BLK BILTMORE AVE,LARCENY AFTER BREAK/ENTER,W,M,APD,585310,2525,2021
2531,2021/03/18,1140,500-BLK BILTMORE AVE,LARCENY AFTER BREAK/ENTER,W,M,APD,585310,2526,2021
2536,2020/05/27,1210,200-BLK AURORA DR,OBTAIN PROPERTY FALSE PRETENSE,B,M,APD,572945,2531,2020
2537,2020/05/27,1210,200-BLK AURORA DR,POSS STOLEN GOODS/PROP (F),B,M,APD,572945,2532,2020
2538,2020/05/27,1210,200-BLK AURORA DR,POSS/RCV STOLEN PROP CERT FEL,B,M,APD,572945,2533,2020
2539,2020/05/27,1210,200-BLK AURORA DR,OBTAIN PROPERTY FALSE PRETENSE,B,M,APD,572945,2534,2020
2552,2021/05/08,45,100-BLK FUTURE DR,SIMPLE POSSESS SCH IV CS (M),W,M,APD,588629,2547,2021
2553,2021/05/08,45,100-BLK FUTURE DR,SIMPLE POSSESS SCH III CS (M),W,M,APD,588629,2548,2021
2574,2020/12/31,2254,100-BLK ASCOT POINT CIR,DV PROTECTIVE ORDER VIOL (M),W,M,APD,580355,2569,2020
2577,2020/10/13,1305,400-BLK BILTMORE AVE,ASSAULT ON A FEMALE,W,M,APD,578552,2572,2020
2678,2020/08/20,2032,100-BLK CLINGMAN AVE,MISDEMEANOR LARCENY,B,M,APD,576095,2673,2020
2679,2020/08/20,2032,100-BLK CLINGMAN AVE,MISDEMEANOR LARCENY,B,M,APD,576095,2674,2020
2680,2020/08/20,2032,100-BLK CLINGMAN AVE,MISDEMEANOR LARCENY,B,M,APD,576095,2675,2020
2681,2020/08/20,2032,100-BLK CLINGMAN AVE,MISDEMEANOR LARCENY,B,M,APD,576095,2676,2020
2774,2020/06/30,2231,100-BLK S FRENCH BROAD AVE,ROBBERY WITH DANGEROUS WEAPON,B,M,APD,573789,2769,2020
2792,2020/05/21,1900,100-BLK HENDERSONVILLE RD,OBTAIN PROPERTY FALSE PRETENSE,B,M,APD,572818,2787,2020
2833,2021/01/05,907,100-BLK COURT PLZ,SPEEDING,B,M,APD,580447,2829,2021
2834,2021/01/05,907,100-BLK COURT PLZ,DWLR NOT IMPAIRED REV,B,M,APD,580447,2830,2021
2835,2021/01/05,907,100-BLK COURT PLZ,FICT/ALT TITLE/REG CARD/TAG,B,M,APD,580447,2831,2021
2836,2021/01/05,907,100-BLK COURT PLZ,EXPIRED/NO INSPECTION,B,M,APD,580447,2832,2021
2837,2021/01/05,907,100-BLK COURT PLZ,DWLR IMPAIRED REV,B,M,APD,580447,2833,2021
2838,2021/01/05,907,100-BLK COURT PLZ,DRIVE/ALLOW MV NO REGISTRATION,B,M,APD,580447,2834,2021
2839,2021/01/05,907,100-BLK COURT PLZ,OPERATE VEH NO INS,B,M,APD,580447,2835,2021
2840,2021/01/05,907,100-BLK COURT PLZ,DRIVE/ALLOW MV NO REGISTRATION,B,M,APD,580447,2836,2021
2857,2021/05/09,1917,100-BLK BARTLETT ST,INJURY TO PERSONAL PROPERTY,W,M,APD,588668,2853,2021
2858,2021/05/09,1917,100-BLK BARTLETT ST,FALSE IMPRISONMENT,W,M,APD,588668,2854,2021
2867,2020/04/22,1057,100-BLK EASTOVER DR,DRIVING WHILE IMPAIRED,W,M,APD,571137,2863,2020
2870,2020/04/22,1057,100-BLK EASTOVER DR,POSS OPN CNT/CONS ALC PSG AREA,W,M,APD,571137,2866,2020
2894,2020/10/23,2250,100-BLK ERSKINE ST,ASSAULT ON A FEMALE,B,M,APD,578810,2890,2020
2895,2021/07/17,2243,1000-BLK PATTON AVE,POSSESS DRUG PARAPHERNALIA,W,M,APD,594585,2891,2021
2896,2021/07/17,2243,1000-BLK PATTON AVE,FELONY POSSESSION SCH II CS,W,M,APD,594585,2892,2021
2926,2020/04/08,2040,600-BLK HAYWOOD RD,BREAK COIN/CURRENCY MACH (M),W,M,APD,569870,2922,2020
2927,2020/04/08,2040,600-BLK HAYWOOD RD,INJURY TO REAL PROPERTY,W,M,APD,569870,2923,2020
2933,2020/04/08,2040,600-BLK HAYWOOD RD,MISDEMEANOR LARCENY,W,M,APD,569870,2929,2020
2934,2020/04/08,2040,600-BLK HAYWOOD RD,MISDEMEANOR LARCENY,W,M,APD,569870,2930,2020
2935,2020/04/08,2040,600-BLK HAYWOOD RD,POSSESSION OF FIREARM BY FELON,W,M,APD,569870,2931,2020
2936,2020/04/08,2040,600-BLK HAYWOOD RD,POSSESS MARIJ PARAPHERNALIA,W,M,APD,569870,2932,2020
2937,2020/04/08,2040,600-BLK HAYWOOD RD,SIMPLE POSSESS SCH VI CS (M),W,M,APD,569870,2933,2020
2938,2020/04/08,2040,600-BLK HAYWOOD RD,POSSESS DRUG PARAPHERNALIA,W,M,APD,569870,2934,2020
2939,2020/04/08,2040,600-BLK HAYWOOD RD,OPEN CONT AFTR CONS ALC SUBOFN,W,M,APD,569870,2935,2020
2953,2020/01/07,1445,100-BLK COXE AVE,INTOXICATED AND DISRUPTIVE,B,M,APD,565515,2949,2020
2954,2020/02/04,1907,1700-BLK OLD HAYWOOD RD,FELONY POSSESSION SCH II CS,W,M,APD,567653,2950,2020
2955,2020/02/04,1907,1700-BLK OLD HAYWOOD RD,POSSESS MARIJ PARAPHERNALIA,W,M,APD,567653,2951,2020
2956,2020/02/04,1907,1700-BLK OLD HAYWOOD RD,SOLICIT ALMS/BEG FOR MONEY,W,M,APD,567653,2952,2020
3014,2021/08/22,717,100-BLK FLORENCE ST,BREAKING AND OR ENTERING (F),W,M,APD,595606,3010,2021
3015,2021/09/09,2103,100-BLK CHARLOTTE ST,PRETRIAL RELEASE VIOLATION [15A-534(F)],W,M,APD,596122,3011,2021
3016,2020/11/02,1831,100-BLK CHARLOTTE ST,OPEN CNT MBV/UNFWN PROP CY/CTY,W,M,APD,579059,3012,2020
3017,2020/11/02,1831,100-BLK CHARLOTTE ST,SECOND DEGREE TRESPASS,W,M,APD,579059,3013,2020
3052,2020/10/12,1934,1600-BLK HENDERSONVILLE RD,SIMPLE ASSAULT,B,F,APD,578524,3048,2020
3103,2020/02/19,2208,100-BLK WOODFIN ST,FELONY POSSESSION SCH II CS,B,M,APD,568270,3099,2020
3135,2020/06/14,2242,100-BLK AZALEA ST,ASSAULT SERIOUS BODILY INJURY,B,M,APD,573411,3130,2020
3151,2021/09/26,2132,100-BLK COXE AVE,ASSAULT WITH A DEADLY WEAPON,W,M,APD,596524,3146,2021
3168,2021/08/12,624,100-BLK S TUNNEL RD,EXPIRED REGISTRATION CARD/TAG,W,M,APD,595321,3163,2021
3169,2021/08/12,624,100-BLK S TUNNEL RD,DWLR NOT IMPAIRED REV,W,M,APD,595321,3164,2021
3170,2021/08/12,624,100-BLK S TUNNEL RD,EXPIRED/NO INSPECTION,W,M,APD,595321,3165,2021
3171,2021/08/12,624,100-BLK S TUNNEL RD,FAIL TO WEAR SEAT BELT-DRIVER,W,M,APD,595321,3166,2021
3284,2020/02/02,237,1400-BLK PATTON AVE,BREAKING AND OR ENTERING (F),W,M,APD,567562,3279,2020
3285,2020/02/02,237,1400-BLK PATTON AVE,INJURY TO REAL PROPERTY,W,M,APD,567562,3280,2020
3286,2020/02/02,237,1400-BLK PATTON AVE,RESISTING PUBLIC OFFICER,W,M,APD,567562,3281,2020
3287,2020/02/02,237,1400-BLK PATTON AVE,LARCENY AFTER BREAK/ENTER,W,M,APD,567562,3282,2020
3288,2020/02/02,237,1400-BLK PATTON AVE,INJURY TO PERSONAL PROPERTY,W,M,APD,567562,3283,2020
3347,2020/08/16,524,100-BLK JOYNER AVE,RESISTING PUBLIC OFFICER,W,M,APD,574965,3342,2020
3348,2020/08/16,524,100-BLK JOYNER AVE,ATT BREAK OR ENTER BLDG (M),W,M,APD,574965,3343,2020
3357,2020/01/03,2331,100-BLK ADAMS ST,PWISD COCAINE,B,M,APD,565407,3352,2020
3358,2020/01/03,2331,100-BLK ADAMS ST,MAINTN VEH/DWELL/PLACE CS (F),B,M,APD,565407,3353,2020
3359,2020/01/03,2331,100-BLK ADAMS ST,POSSESS MARIJUANA UP TO 1/2 OZ,B,M,APD,565407,3354,2020
3360,2020/01/03,2331,100-BLK ADAMS ST,RESISTING PUBLIC OFFICER,B,M,APD,565407,3355,2020
3361,2020/01/03,2331,100-BLK ADAMS ST,FAIL STOP STOPSIGN/FLSH RED LT,B,M,APD,565407,3356,2020
3419,2020/08/01,1001,400-BLK CARIBOU RD,MISDEMEANOR LARCENY,B,F,APD,574563,3414,2020
3420,2020/08/01,1001,400-BLK CARIBOU RD,MISDEMEANOR LARCENY,B,F,APD,574563,3415,2020
3421,2020/08/01,1001,400-BLK CARIBOU RD,INTOXICATED AND DISRUPTIVE,B,F,APD,574563,3416,2020
3468,2021/09/06,844,100-BLK PEACOCK LN,ASSAULT INDIV W/ DISABILITY,B,F,APD,596007,3463,2021
3469,2021/09/06,844,100-BLK PEACOCK LN,ASSAULT - FREE TEXT,B,F,APD,596007,3464,2021
3470,2020/01/11,1731,100-BLK CORDOVA ST,NON-SUPPORT,B,M,APD,565675,3465,2020
